Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.9441707717569786,0.9441707717569786,,0.9444300989417121,3.573915958404541
ExtraTreesClassifier,0.9296661193212917,0.9296661193212917,,0.9300344745909057,16.23790168762207
RandomForestClassifier,0.9250136836343733,0.9250136836343733,,0.924425567856001,47.32833647727966
SVC,0.9225506294471811,0.9225506294471811,,0.9227247872802748,154.08200335502625
LGBMClassifier,0.9170771756978654,0.9170771756978654,,0.9161019775444278,105.09995341300964
LogisticRegression,0.9135194307608101,0.9135194307608101,,0.912785757261846,21.802627325057983
BaggingClassifier,0.9047619047619048,0.9047619047619048,,0.9046124863651479,227.83598971366882
NuSVC,0.8877941981390257,0.8877941981390256,,0.8875411379779272,1089.1167330741882
NearestCentroid,0.886152162014231,0.886152162014231,,0.8867299614113914,4.066557168960571
BernoulliNB,0.8702791461412152,0.8702791461412152,,0.8670587340552421,3.466777801513672
SGDClassifier,0.8571428571428571,0.8571428571428572,,0.8576132044972248,44.95188117027283
DecisionTreeClassifier,0.8508483853311439,0.8508483853311439,,0.8512490880946428,53.775269508361816
CalibratedClassifierCV,0.831143951833607,0.831143951833607,,0.8312343649301379,6197.341794490814
PassiveAggressiveClassifier,0.8300492610837439,0.8300492610837439,,0.8289497379350558,55.17561364173889
ExtraTreeClassifier,0.819376026272578,0.819376026272578,,0.8162506561684717,3.2553975582122803
LinearDiscriminantAnalysis,0.8185550082101807,0.8185550082101808,,0.818250478585955,51.1944465637207
LinearSVC,0.8092501368363437,0.8092501368363436,,0.805127289213429,2072.4724011421204
AdaBoostClassifier,0.8043240284619595,0.8043240284619596,,0.7756660084455547,273.4021418094635
Perceptron,0.8037766830870279,0.8037766830870279,,0.7992480636215176,25.160099983215332
RidgeClassifierCV,0.7835249042145593,0.7835249042145594,,0.7794547735703651,90.84437584877014
KNeighborsClassifier,0.7681992337164751,0.7681992337164751,,0.7684120076417381,8.927513360977173
RidgeClassifier,0.7608100711548987,0.7608100711548987,,0.7582489002253335,5.182585716247559
DummyClassifier,0.16666666666666666,0.16666666666666666,,0.047619047619047616,2.7885735034942627
LabelPropagation,0.16666666666666666,0.16666666666666666,,0.047619047619047616,18.152794122695923
LabelSpreading,0.16666666666666666,0.16666666666666666,,0.047619047619047616,19.67538595199585
